ID;track_name;track_musical_genre;track_type;duration_ms;feature;track_videoclip;videoclip_views;spotify_streams;spotify_global_peak;album;track_number;album_musical_genre;album_type;release_date;album_physical_sales;track_lyrics;track_theme;uri;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence
0;Welcome To New York (Taylor's Version);Dance Pop;B-Side;212600;No;No;0;102.221.045;6;1989 (Taylor's Version) [Deluxe];1;Pop;Compilation/Deluxe;27/10/2023;0;"Walkin' through a crowd, the village is aglow Kaleidoscope of loud heartbeats under coats Everybody here wanted somethin' more Searchin' for a sound we hadn't heard before And it said [Chorus] ""Welcome to New York, it's been waitin' for you"" Welcome to New York, welcome to New York Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat, beat forevermor? The lights are so bright, but they n?ver blind me, me Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York [Verse 2] When we first dropped our bags on apartment floors Took our broken hearts, put them in a drawer Everybody here was someone else before And you can want who you want Boys and boys and girls and girls [Chorus] Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat, beat forevermore The lights are so bright, but they never blind me, me Welcome to New York (New York), it's been waitin' for you Welcome to New York, welcome to New York [Bridge] Like any great love, it keeps you guessing Like any real love, it's ever-changing Like any true love, it drives you crazy But you know you wouldn't change anything, anything, anything [Chorus] Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York Welcome to New York, it's been waitin' for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat The lights are so bright, but they never blind me Welcome to New York, new soundtrack It's been waitin' for you, welcome to New York The lights are so bright, but they never blind me Welcome to New York, so bright, they never blind me Welcome to New York, welcome to New York";Happiness;spotify:track:4WUepByoeqcedHoYhSNHRt;0.00942;0.757;0.61;3.66e-05;0.367;-4.84;0.0327;116.998;0.685
1;Blank Space (Taylor's Version);Electropop;B-Side;231833;No;No;0;151.282.408;3;1989 (Taylor's Version) [Deluxe];2;Pop;Compilation/Deluxe;27/10/2023;0;"Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought ""Oh, my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So, hey, let's be friends I'm dyin' to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend [Chorus] So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth th? pain Got a long list of ex-lovers They'll t?ll you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name [Verse 2] Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the king, baby, I'm your queen Find out what you want Be that girl for a month Wait, the worst is yet to come Oh, no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessin', like ""Oh, my God, who is she?"" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream [Chorus] So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless (Oh) We'll take this way too far It'll leave you breathless (Oh-oh), mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane (Insane) But I've got a blank space, baby And I'll write your name [Bridge] Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya [Chorus] So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over (Over), mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane (I'm insane) 'Cause you know I love the players And you love the game (Love the game) 'Cause we're young and we're reckless (Yeah) We'll take this way too far (Ooh) It'll leave you breathless, mm Or with a nasty scar (Or leave a nasty scar) Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name";New love;spotify:track:0108kcWLnn2HlH2kedi1gn;0.0885;0.733;0.733;0.0;0.168;-5.376;0.067;96.057;0.701
2;Style (Taylor's Version);Synth Pop;B-Side;231000;No;No;0;182.418.311;1;1989 (Taylor's Version) [Deluxe];3;Pop;Compilation/Deluxe;27/10/2023;0;"Midnight You come and pick me up, no headlights Long drive Could end in burnin' flames or paradise Fade into view, oh It's been a while since I have even heard from you (Heard from you) [Pre-Chorus] I should just tell you to leave 'cause I Know exactly where it leads, but I Watch us go 'round and 'round each time [Chorus] You got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashin' down, we come back every time 'Cause we n?ver go out of style, we n?ver go out of style You got that long hair, slicked back, white T-shirt And I got that good girl faith and a tight little skirt And when we go crashin' down, we come back every time 'Cause we never go out of style, we never go out of style [Verse 2] So it goes He can't keep his wild eyes on the road, mm Takes me home Lights are off, he's taking off his coat, oh, yeah I say,""I heard, oh That you've been out and about with some other girl"" Some other girl [Pre-Chorus] He says,""What you heard is true, but I Can't stop thinkin' 'bout you,"" and I I said,""I've been there too a few times"" [Chorus] 'Cause you got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashin' down, we come back every time 'Cause we never go out of style, we never go out of style You got that long hair, slicked back, white T-shirt And I got that good girl faith and a tight little skirt (A tight little skirt) And when we go crashin' down, we come back every time 'Cause we never go out of style (We never go, we never go), we never go out of style [Bridge] Take me home (Ah) Just take me home (Ah) Yeah, just take me home (Ah) Woah, woah, oh (Out of style) [Chorus] Oh, 'cause you got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashin' down (And when we go), we come back every time 'Cause we never go out of style, we never go out of style";New love;spotify:track:3Vpk1hfMAQme8VJ0SNRSkd;0.000421;0.511;0.822;0.0197;0.0899;-4.785;0.0397;94.868;0.305
3;Out Of The Woods (Taylor's Version);Synth Pop;B-Side;235800;No;No;0;118.458.965;8;1989 (Taylor's Version) [Deluxe];4;Pop;Compilation/Deluxe;27/10/2023;0;"Looking at it now It all seems so simple We were lying on your couch I remember You took a Polaroid of us Then discovered (Then discovered) The rest of the world was black and white But we were in screaming color And I remember thinkin' [Chorus] Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good (Are we out of the woods?) [Verse 2] Looking at it now Last December (Last December) We were built to fall apart And fall back together (Back together) Ooh, your necklace hanging from my neck The night we couldn't quite forget When we decided, we decided To move the furniture so we could dance Baby, like we stood a chance Two paper airplanes flying, flying, flying And I remember thinkin' [Chorus] Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? (Oh) Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good (Are we out of the woods?) [Bridge] Remember when you hit the brakes too soon? Twenty stitches in the hospital room When you started crying, baby, I did too But when the sun came up, I was lookin' at you Remember when we couldn't take the heat? I walked out, I said,""I'm settin' you free"" But the monsters turned out to be just trees When the sun came up, you were lookin' at me You were lookin' at me, oh, you were looking at me (Are we out of the woods yet? Are we out of the woods yet?) (Are we out of the woods yet? Are we out of the woods?) I remember (Are we in the clear yet? Are we in the clear yet?) (Are we in the clear yet, in the clear yet? Good) Oh, I remember [Chorus] Are we out of the woods yet? Are we out of the woods yet? (Yeah) Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? (Say, are we?) Are we in the clear yet, in the clear yet? Good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah) Are we in the clear yet, in the clear yet? Good (Clear yet? Good) Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good (Do you remember?) Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet, in the clear yet? Good";Complicated love/Losing love;spotify:track:1OcSfkeCg9hRC2sFKB4IMJ;0.000537;0.545;0.885;5.59e-05;0.385;-5.968;0.0447;92.021;0.206
4;All You Had To Do Was Stay (Taylor's Version);Synth Pop;B-Side;193289;No;No;0;88.205.974;10;1989 (Taylor's Version) [Deluxe];5;Pop;Compilation/Deluxe;27/10/2023;0;"(Hey, hey, hey) (Hey, hey, hey) (Hey, hey, hey) (Hey, hey, hey) [Verse 1] People like you always want back The love they gave away And people like me wanna believe you When you say you've changed The more I think about it now The less I know All I know is that you drove us Off the road [Chorus] (Stay) Hey, all you had to do was stay Had me in the palm of your hand, then Why'd you have to go and lock me out when I let you in? (Stay) Hey, now you say you want it back Now that it's just too late, well, could've been easy All you had to do was (Stay) [Post-Chorus] All you had to do was (Stay) All you had to do was (Stay) All you had to do was (Stay) All you had to do was stay [Verse 2] Here you are now, callin' me up But I don't know what to say I've been pickin' up the pieces Of the mess you made People like you always want back The love they pushed aside But people like me are gone forever When you say goodbye [Chorus] (Stay) Hey, all you had to do was stay Had me in the palm of your hand, then Why'd you have to go and lock me out when I let you in? (Stay) Hey, now you say you want it back Now that it's just too late, well, could've been easy All you had to do was (Stay) [Post-Chorus] All you had to do was (Stay) All you had to do was (Stay) All you had to do was (Stay, stay, stay, stay) [Bridge] Let me remind you This was what you wanted (Oh, oh, oh-oh-oh) You ended it You were all I wanted (Oh, oh, oh-oh-oh) But not like this Not like this, not like this Oh, all you had to do was [Chorus] (Stay) Hey, all you had to do was stay Had me in the palm of your hand, then Why'd you have to go and lock me out when I let you in? (Stay) Hey, now you say you want it back Now that it's just too late, well, could've been easy All you had to do was (Stay; Ah) Hey, all you had to do was stay Had me in the palm of your hand, then Why'd you have to go and lock me out when I let you in? (Stay; Ah) Hey, now you say you want it back Now that it's just too late, well, it could've been easy (All you had to do was stay) All you had to do was (Stay) [Post-Chorus] (Ah) All you had to do was (Stay; Oh) All you had to do was (Stay) All you had to do was (Stay; Ooh) All you had to do was (Stay)";Broken heart/Anger;spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ;0.000656;0.588;0.721;0.0;0.131;-5.579;0.0317;96.997;0.52
5;Shake It Off (Taylor's Version);Dance Pop;B-Side;219209;No;No;0;101.800.187;11;1989 (Taylor's Version) [Deluxe];6;Pop;Compilation/Deluxe;27/10/2023;0;"I stay out too late Got nothin' in my brain That's what people say, mm-mm That's what people say, mm-mm I go on too many dates (Haha) But I can't make them stay At least, that's what people say, mm-mm That's what people say, mm-mm [Pre-Chorus] But I keep cruisin' Can't stop, won't stop movin' It's like I got this music in my mind Sayin',""It's gonna be alright"" [Chorus] 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake Shake it off, I shake it off (Ooh) Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ooh) [Verse 2] I never miss a beat I'm lightnin' on my feet And that's what they don't see, mm-mm That's what they don't see, mm-mm I'm dancin' on my own (Dancin' on my own) I make the moves up as I go (Moves up as I go) And that's what they don't know, mm-mm That's what they don't know, mm-mm [Pre-Chorus] But I keep cruisin' Can't stop, won't stop groovin' It's like I got this music in my mind Sayin',""It's gonna be alright"" [Chorus] 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake Shake it off, I shake it off (Ooh) Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ooh) [Post-Chorus] I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off (Haha) [Interlude] Hey, hey, hey Just think, while you've been gettin' down and out about the liars And the dirty, dirty cheats of the world You could've been gettin' down to this sick beat [Bridge] My ex-man brought his new girlfriend She's like,""Oh, my God"" (Haha), but I'm just gonna shake And to the fella over there with the hella good hair Won't you come on over, baby? We could shake, shake, shake Yeah, oh, woah [Chorus] 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate (Haters gonna hate) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ooh; Hey) Heartbreakers gonna break, break, break, break, break (Mmm) And the fakers gonna fake, fake, fake, fake, fake (They fake and fake and fake) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ooh; Off) [Post-Chorus] I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off (Off) I, I, I shake it off (Yeah), I shake it off I shake it off, I shake it off I, I, I shake it off, I shake it off (You got to) I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off";Happiness;spotify:track:50yNTF0Od55qnHLxYsA5Pw;0.0121;0.636;0.808;2.18e-05;0.359;-5.693;0.0729;160.058;0.917
6;I Wish You Would (Taylor's Version);Pop Rock;B-Side;207650;No;No;0;77.667.730;14;1989 (Taylor's Version) [Deluxe];7;Pop;Compilation/Deluxe;27/10/2023;0;"It's 2 AM in your car Windows down, you pass my street, the memories start You say,""It's in the past,"" you drive straight ahead You're thinkin' that I hate you now 'Cause you still don't know what I never said [Chorus] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'll never forget you as long as I live and I Wish you were right here, right now, it's all good I wish you would [Verse 2] It's 2 AM in my room Headlights pass the window pane, I think of you We're a crooked love in a straight line down Makes you want to run and hide Then it makes you turn right back around [Chorus] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'll never forget you as long as I live and I Wish you were right here, right now, it's all good I wish you would I wish we could go back And remember what we were fightin' for and I Wish you knew that I miss you too much to be mad anymore and I Wish you were right here, right now, it's all good I wish you would [Post-Chorus] I, I-I-I, I, I, I wish, I wish, I I, I-I-I, I, I, I wish, I wish, I I, I-I-I, I, I, I wish, I wish, I [Bridge] You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I) You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I) This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I) To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I) I wish you would, I wish you would (I wish you would, I wish you would) I wish you would, I wish you would (I, I-I-I, I, I, I wish, I wish, I) (I wish you would, I wish you would) (I, I-I-I, I, I, I wish, I wish, I) [Verse 3] 2 AM, here we are See your face, hear my voice in the dark We're a crooked love in a straight line down Makes you wanna run and hide But it made us turn right back around [Chorus] I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'll never forget you as long as I live and I Wish you were right here, right now, it's all good I wish you would I wish you would come back Wish I never hung up the phone like I did, I Wish you knew that I'll never forget you as long as I live and I Wish you were right here, right now, it's all good I wish you would I wish we could go back And remember what we were fightin' for and I Wish you knew that I miss you too much to be mad anymore and I Wish you were right here, right now, it's all good I wish you would [Outro] You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I) You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I) This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I) To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I) I wish you would, I wish you would (I wish you would, I wish you would) (I, I-I-I, I, I, I wish, I wish, I) I wish you would, I wish you would (I wish you would, I wish you would, I wish you would, I wish you would) (I, I-I-I, I, I, I wish, I wish, I) I, I-I-I, I, I, I wish, I wish, I I, I-I-I, I, I, I wish, I wish, I I wish you would";Complicated love/Losing love;spotify:track:3FxJDucHWdw6caWTKO5b23;0.00354;0.67;0.858;1.25e-05;0.0687;-6.528;0.0439;118.009;0.539
7;Bad Blood (Taylor's Version);Electropop;B-Side;211103;No;No;0;75.816.684;13;1989 (Taylor's Version) [Deluxe];8;Pop;Compilation/Deluxe;27/10/2023;0;'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey [Verse 1] Did you have to do this? I was thinking that you could be trusted Did you have to ruin What was shiny? Now it's all rusted Did you have to hit me Where I'm weak? Baby, I couldn't breathe And rub it in so deep Salt in the wound like you're laughin' right at me [Pre-Chorus] Oh, it's so sad to Think about the good times You and I [Chorus] 'Cause, baby, now we got bad blood You know it used to be mad lov? So take a look what you've done 'Caus?, baby, now we got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey [Verse 2] Did you think we'd be fine? Still got scars on my back from your knife So don't think it's in the past These kinda wounds, they last and they last Now, did you think it all through? All these things will catch up to you And time can heal, but this won't So if you're comin' my way, just don't [Pre-Chorus] Oh, it's so sad to Think about the good times You and I [Chorus] 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey [Bridge] Band-aids don't fix bullet holes You say sorry just for show If you live like that, you live with ghosts (Ghosts) Band-aids don't fix bullet holes (Hey) You say sorry just for show (Hey) If you live like that, you live with ghosts (Hey), mmm If you love like that, blood runs cold [Chorus] 'Cause, baby, now we got bad blood You know it used to be mad love (Mad love) So take a look what you've done 'Cause, baby, now we got bad blood, hey (Bad blood) Now we got problems And I don't think we can solve them (Think we can solve them) You made a really deep cut And, baby, now we got bad blood, hey ('Cause now we got bad blood) 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done (Look what you've done) 'Cause, baby, now we got bad blood, hey (Ooh, woah, no) Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey;Betrayal/Anger;spotify:track:7oZONwFiFIErZcXAtTu7FY;0.0362;0.618;0.683;0.0;0.305;-6.438;0.194;169.971;0.363
8;Wildest Dreams (Taylor's Version);Synth Pop;B-Side;220433;No;No;0;695.045.271;12;1989 (Taylor's Version) [Deluxe];9;Pop;Compilation/Deluxe;27/10/2023;0;"He said,""Let's get out of this town Drive out of the city, away from the crowds"" I thought,""Heaven can't help me now"" Nothing lasts forever But this is gonna take me down [Pre-Chorus] He's so tall and handsome as hell He's so bad, but he does it so well I can see the end as it begins My one condition is [Chorus] Say you'll remember me Standin' in a nice dress Starin' at the sunset, babe Red lips and rosy cheeks Say you'll see me again Even if it's just in your Wildest dreams, ah, ha Wildest dreams, ah, ha [Verse 2] I said,""No one has to know what w? do"" His hands are in my hair, his clothes are in my room And his voic? is a familiar sound Nothin' lasts forever But this is gettin' good now [Pre-Chorus] He's so tall and handsome as hell He's so bad, but he does it so well And when we've had our very last kiss My last request it is [Chorus] Say you'll remember me Standin' in a nice dress Starin' at the sunset, babe Red lips and rosy cheeks Say you'll see me again Even if it's just in your Wildest dreams, ah, ha (Ha, ha) Wildest dreams, ah, ha [Bridge] You'll see me in hindsight Tangled up with you all night Burnin' it down Someday, when you leave me I bet these memories Follow you around You'll see me in hindsight Tangled up with you all night Burnin' (Burnin') it (It) down (Down) Someday, when you leave me I bet these memories Follow (Follow) you (You) around (Around) (Follow you around) [Chorus] Say you'll remember me Standing in a nice dress Starin' at the sunset, babe Red lips and rosy cheeks Say you'll see me again Even if it's just pretend Say you'll remember me Standin' in a nice dress Starin' at the sunset, babe Red lips and rosy cheeks Say you'll see me again Even if it's just in your (Just pretend, just pretend) Wildest dreams, ah, ha (Ah-ah) In your wildest dreams, ah, ha Even if it's just in your In your wildest dreams, ah, ha In your wildest dreams, ah, ha";Complicated love/Losing love;spotify:track:27exgla7YBw9DUNNcTIpjy;0.0436;0.589;0.674;7.18e-05;0.112;-7.48;0.0656;139.985;0.514
9;How You Get The Girl (Taylor's Version);Synth Pop;B-Side;247533;No;No;0;64.895.368;17;1989 (Taylor's Version) [Deluxe];10;Pop;Compilation/Deluxe;27/10/2023;0;"Oh, oh, oh Oh, oh, oh Oh, oh Oh, oh [Verse 1] Stand there like a ghost, shakin' from the rain, rain She'll open up the door and say,""Are you insane-ane?"" Say,""It's been a long six months"" And you were too afraid to tell her what you want, want [Pre-Chorus] And that's how it works That's how you get the girl And then you say [Chorus] I want you for worse or for better I would wait forever and ever Broke your heart, I'll put it back together I would wait forever and ever And that's how it works That's how you get the girl, girl, oh And that's how it works That's how you get the girl, girl [Verse 2] Remind her how it used to be, be, yeah, y?ah Of pictures in frames, of kisses on cheeks, cheeks T?ll her how you must have lost your mind, ooh When you left her all alone and never told her why, why [Pre-Chorus] And that's how it works That's how you lost the girl And now you say [Chorus] I want you for worse or for better I would wait forever and ever (Ever and ever) Broke your heart, I'll put it back together (Put it back together) I would wait forever and ever (Ever and ever) And that's how it works That's how you get the girl, girl, oh And that's how it works That's how you get the girl, girl, yeah, yeah [Bridge] And you know That I don't want you to go [Break] Remind me how it used to be Pictures in frames of kisses on cheeks And say you want me, yeah, yeah, 'cause And then you say [Chorus] I want you for worse or for better (Worse or for better) I would wait forever and ever (Ever and ever) Broke your heart, I'll put it back together I want you forever and ever (I want you forever and ever) And that's how it works That's how you get the girl, girl ('Cause it's how it works) And that's how it works That's how you get the girl, girl (Get the girl, that's how it works) And that's how it works (Oh) That's how you get the girl, girl (Oh) And that's how it works That's how you get the girl, girl [Outro] And that's how it works That's how you got the girl";Complicated love/Losing love;spotify:track:733OhaXQIHY7BKtY3vnSkn;0.00196;0.758;0.691;1.09e-05;0.0939;-5.798;0.0515;119.997;0.538
